time	step	train_loss	lr	acc	smilarity
01-07 20:21	86400	2.03143310546875	3.906099999999991e-06	0.08686343364720117	0.08142238229704209
01-07 20:22	86800	2.031126022338867	3.8811249999999916e-06	0.09044189323103863	0.08238348161849454
01-07 20:23	87200	2.0567626953125	3.856149999999991e-06	0.09452968833012101	0.08432075462471215
01-07 20:24	87600	2.034970283508301	3.831174999999991e-06	0.08243325001204517	0.07764607944931738
01-07 20:25	88000	2.023878574371338	3.781224999999992e-06	0.09065828389971507	0.08335854743535703
01-07 20:26	88400	2.026413679122925	3.756249999999992e-06	0.08982679571616667	0.08368489850694552
01-07 20:27	88800	2.049107074737549	3.731274999999992e-06	0.09238923728289852	0.08431126482975786
01-07 20:27	89200	2.0380704402923584	3.706299999999992e-06	0.09245979001569019	0.08482394123879765
01-07 20:28	89600	2.05963134765625	3.681324999999992e-06	0.08765541340822135	0.07989178619419156
01-07 20:29	90000	2.03936767578125	3.6563499999999917e-06	0.09081504357941453	0.08477336378433765
01-07 20:30	90400	2.0007684230804443	3.631374999999992e-06	0.09122994546470019	0.08394984270517639
01-07 20:31	90800	2.0328621864318848	3.606399999999992e-06	0.08213743209574854	0.07850260048722608
01-07 20:32	91200	1.9697105884552002	3.5564499999999924e-06	0.09548367765050969	0.0845566508718408
01-07 20:33	91600	2.0212602615356445	3.5314749999999927e-06	0.08680078985019975	0.08070594748147787
01-07 20:33	92000	1.95444917678833	3.5064999999999926e-06	0.09005141608926298	0.08368661846870032
01-07 20:34	92400	1.9910156726837158	3.4815249999999925e-06	0.09350843856155786	0.08524611845421484
01-07 20:35	92800	1.9893972873687744	3.4565499999999923e-06	0.0879144617725975	0.08082547382666516
01-07 20:36	93200	1.9983258247375488	3.4315749999999926e-06	0.09263817564448208	0.08566523734957746
01-07 20:37	93600	1.9613932371139526	3.4065999999999925e-06	0.08971897465385993	0.08247918119797341
01-07 20:38	94000	1.953515648841858	3.3566499999999927e-06	0.09006886776589698	0.08210931355372453
01-07 20:39	94400	1.9952876567840576	3.3316749999999925e-06	0.09109553686254965	0.08311611915437075
01-07 20:39	94800	1.9460809230804443	3.3066999999999924e-06	0.08887745905159322	0.08347243228210854
01-07 20:40	95200	1.996826171875	3.2817249999999927e-06	0.09188015153412206	0.0842353706845106
01-07 20:41	95600	1.9802827835083008	3.2567499999999926e-06	0.08930619099972172	0.08308359674918349
01-07 20:42	96000	2.01837158203125	3.2317749999999924e-06	0.09024846546704639	0.08328991017949122
01-07 20:43	96400	1.9978299140930176	3.2067999999999923e-06	0.08640739205214096	0.0842058188162553
01-07 20:44	96800	1.9947075843811035	3.156849999999992e-06	0.08868975652925802	0.08313723629674848
01-07 20:45	97200	2.0038442611694336	3.1318749999999924e-06	0.08826507699172241	0.08277945927320382
01-07 20:46	97600	1.9937996864318848	3.1068999999999926e-06	0.08728389132572333	0.08366054597382361
01-07 20:46	98000	1.994295597076416	3.0819249999999925e-06	0.08529155103889154	0.08119047218217297
01-07 20:47	98400	1.99609375	3.0569499999999924e-06	0.08910496432811128	0.08251836735946247
01-07 20:48	98800	1.984375	3.0319749999999927e-06	0.09011302884424027	0.08272234233430562
01-07 20:49	99200	1.9598488807678223	3.0069999999999926e-06	0.0881033617640087	0.08257845094284187
01-07 20:50	99600	1.997891902923584	2.9820249999999924e-06	0.08693883189983494	0.08186790246803027
01-07 20:51	100000	1.9583120346069336	2.932074999999992e-06	0.087166337176353	0.08181359745466557
01-07 20:52	100400	1.971055269241333	2.907099999999992e-06	0.09042642029903653	0.08268496269981065
01-07 20:52	100800	1.9297537803649902	2.8821249999999923e-06	0.08546119005745756	0.08142417282439196
01-07 20:53	101200	1.957747459411621	2.857149999999992e-06	0.08512362060425117	0.07909744438261557
01-07 20:54	101600	1.981212854385376	2.832174999999992e-06	0.08926159912457658	0.08210266849551444
01-07 20:55	102000	1.9743924140930176	2.8071999999999924e-06	0.08988642972651216	0.08189159397704475
01-07 20:56	102400	1.9287760257720947	2.7822249999999922e-06	0.08688433748920567	0.08091952795019519
01-07 20:57	102800	1.9210937023162842	2.7322749999999924e-06	0.08547816637210337	0.08054049370380548
01-07 20:58	103200	1.9730902910232544	2.7072999999999927e-06	0.08463138628688628	0.08108147477301268
01-07 20:58	103600	1.9264856576919556	2.6823249999999926e-06	0.08767389310551087	0.08157654106616977
01-07 20:59	104000	1.9957275390625	2.6573499999999924e-06	0.08228548670903996	0.07780777861197026
01-07 21:00	104400	2.0215773582458496	2.6323749999999923e-06	0.08286288509759505	0.07800735294436795
01-07 21:01	104800	2.0174560546875	2.6073999999999926e-06	0.08871755312009078	0.08182746778504969
01-07 21:02	105200	2.0013020038604736	2.582424999999993e-06	0.08789283280213644	0.08207096240650384
01-07 21:03	105600	1.9901083707809448	2.5324749999999926e-06	0.08769492183074956	0.08260553826888402
01-07 21:04	106000	1.9813988208770752	2.507499999999993e-06	0.08205876270807763	0.08056565835021245
01-07 21:04	106400	1.9804067611694336	2.482524999999993e-06	0.08886875398518515	0.08107107576842495
01-07 21:05	106800	1.974454402923584	2.4575499999999927e-06	0.09053348652276251	0.0830680510172477
01-07 21:06	107200	1.99285888671875	2.4325749999999925e-06	0.08672425052736983	0.07937886245930807
01-07 21:07	107600	1.9920654296875	2.4075999999999924e-06	0.08670008713224103	0.08049368457152296
01-07 21:08	108000	1.966444730758667	2.3826249999999927e-06	0.08913517046037762	0.0834964035699765
01-07 21:09	108400	1.9887772798538208	2.357649999999993e-06	0.09004892622978158	0.0828602007852915
01-07 21:10	108800	1.9401895999908447	2.307699999999993e-06	0.08491025130414354	0.07980748609854622
01-07 21:11	109200	1.9554944038391113	2.2827249999999935e-06	0.08263628597986687	0.08073845130797382
01-07 21:11	109600	1.9051907062530518	2.2577499999999938e-06	0.08807527084152125	0.0813110679005965
01-07 21:12	110000	1.919921875	2.232774999999994e-06	0.08787180407689778	0.08120990754702152
01-07 21:13	110400	1.9463045597076416	2.2077999999999943e-06	0.08427998979220559	0.07921719269301647
01-07 21:14	110800	1.9473586082458496	2.1828249999999946e-06	0.08744397828755919	0.08261882370481125
01-07 21:15	111200	1.9347004890441895	2.1578499999999945e-06	0.08563450683691393	0.08117070669929184
01-07 21:16	111600	1.9203776121139526	2.1078999999999947e-06	0.08682320009621647	0.08115274325395241
01-07 21:17	112000	1.9672619104385376	2.0829249999999945e-06	0.08467447477938772	0.08074410749265014
01-07 21:17	112400	1.9207863807678223	2.057949999999995e-06	0.08421123452193169	0.07983850100292611
01-07 21:18	112800	1.96466064453125	2.032974999999995e-06	0.08807906190373288	0.08066324689067327
01-07 21:19	113200	1.9546130895614624	2.007999999999995e-06	0.08345139809399181	0.07803263706274521
01-07 21:20	113600	1.97149658203125	1.983024999999995e-06	0.08364538153802001	0.07927240402652669
01-07 21:21	114000	1.949962854385376	1.9580499999999947e-06	0.0839846354042035	0.08034452155996591
